mineral name,chemistry,Ba,Ca,K,Mg,Na,Sr,Fe3+,Ti4+,B,Al,Si,O,a,b,c,α,β,γ,volume,P,T,crystal system,space group,citation text,notes
Reedmergnerite,Na B Si3 O8,0,0,0,0,1,0,0,0,1,0,3,8,7.8389,12.3715,6.8065,93.311,116.363,92.043,589.062,0.00 GPa,,triclinic,C1,American Mineralogist 84 (1999) 333-340,
Reedmergnerite,Na B Si3 O8,0,0,0,0,1,0,0,0,1,0,3,8,7.833,12.36,6.803,93.308,116.352,92.055,587.819,,,triclinic,C1,American Mineralogist 50 (1965) 1827-1850,
Reedmergnerite,Na0.99B0.95Al0.07Si2.99O8,0,0,0,0,0.99,0,0,0,0.95,0.07,2.99,8,7.856,12.38,6.817,93.35,116.37,91.87,591.7,,,triclinic,C1,European Journal of Mineralogy 25 (2013) 499-508,"Synthetic, run no. JS10"
Albite,Na0.99B0.48Al0.54Si2.99O8,0,0,0,0,0.99,0,0,0,0.48,0.54,2.99,8,8.046,12.626,6.967,93.47,116.2,90.29,633.5,,,triclinic,C1,European Journal of Mineralogy 25 (2013) 499-508,"Synthetic, run no. JS21"
Orthoclase,(Al1.41 Si2.59) (Ba.4 K.47 Na.13) O8,0.4,0,0.47,0,0.13,0,0,0,0,1.4,2.6,8,8.544,13.03,7.195,90,115.68,90,721.89,,,monoclinic,C2/m,American Mineralogist 68 (1983) 122-124,Locality: Yugoslavia
Sanidine,(Si2.82 Al1.18) (K.59 Na.22 Ba.19) O8,0.19,0,0.59,0,0.22,0,0,0,0,1.18,2.82,8,8.516,13.023,7.206,90,115.9,90,718.903,,,monoclinic,C2/m,American Mineralogist 65 (1980) 472-476,"Locality: Otjosondu, Namibia"
Sanidine,(K.826 Na.086 Ba.048 Sr.04) (Al1.08 Si2.92) O8,0.048,0,0.826,0,0.086,0.04,0,0,0,1.088,2.912,8,8.54,13.036,7.189,90,115.96,90,719.579,,,monoclinic,C2/m,Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 2 (1993) 85-89,"Locality: Khibiny Massif, Kola Peninsula, Russia"
Sanidine,(K.98 Ba.02) (Si3 Al) O8,0.02,0,0.98,0,0,0,0,0,0,1.02,2.98,8,8.6032,13.0237,7.1885,90,115.994,90,723.961,,,monoclinic,C2/m,European Journal of Mineralogy 25 (2013) 597-614,Locality: Synthetic
Sanidine,(Na.577 K.403 Ba.016 Sr.004) (Si2.98 Al1.02) O8,0.016,0,0.403,0,0.577,0.004,0,0,0,1.02,2.98,8,8.3463,12.9877,7.1683,90,116.18,90,697.324,,,monoclinic,C2/m,European Journal of Mineralogy 25 (2013) 597-614,Locality: Synthetic
Microcline,(K0.90Na0.09Ba0.01)Al1.00(Si2.99Al0.01)Σ=3O8,0.01,0,0.9,0,0.09,0,0,0,0,1.01,2.99,8,8.5714,12.9645,7.2203,90.74,115.944,87.663,720.878,,,triclinic,,R040154,"Locality: Mitchell County, North Carolina, USA"
Orthoclase,(K.88 Na.1 Ca.01 Ba.01) (Al1.005 Si2.995) O8,0.01,0.01,0.88,0,0.1,0,0,0,0,1.02,2.98,8,8.563,12.99,7.21,90,115.93,90,721.255,,,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707,"Locality: Adamello Massif, Northern Italy"
Orthoclase,(K0.92Na0.07Ba0.01)Σ=1Al1.01Si2.99O8,0.01,0,0.92,0,0.07,0,0,0,0,1.01,2.99,8,8.5791,13.0013,7.1881,90,115.991,90,720.669,,,monoclinic,,R070001,"Locality: Lengenbach Quarry, Binnental, Valais, Switzerland"
Sanidine,(K0.85Na0.14Ba0.01)Σ=1Al1.04Si2.96O8,0.01,0,0.85,0,0.14,0,0,0,0,1.01,2.99,8,8.5602,13.0247,7.1867,90,115.99,90,720.242,,,monoclinic,,R060313,"Locality: Eifel Mountains, Rhineland-Palatinate, Germany"
Sanidine,(K0.979Na0.030Ba0.006Mg0.007)(Si3.007Al0.879Fe3+0.100)O8,0.006,0,0.964,0.015,0.035,0,0.231,0,0,0.72,3.025,8,8.598,13.05,7.209,90,116,90,727.1,,,monoclinic,C2/m,Mineralogical Magazine 57 (1993) 289-299,"Locality: Cancarix, Spain"
Microcline,(K.904 Na.085 Ca.005 Ba.006) (Al.95 Si3.05) O8,0.006,0.005,0.904,0,0.085,0,0,0,0,1.011,2.989,8,8.564,12.984,7.201,90.13,116.02,89.53,719.53,,,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707,"Locality: Adamello Massif, Northern Italy"
Orthoclase,(K.931 Na.055 Ca.009 Ba.005) (Al.97 Si3.03) O8,0.005,0.009,0.931,0,0.055,0,0,0,0,1.014,2.986,8,8.583,12.988,7.202,90,116.05,90,721.29,,,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707,"Locality: Adamello Massif, Northern Italy"
Sanidine,K.99 Si3.01 Fe.5 Al.49 O8,0,0,0.99,0,0,0,0.5,0,0,0.49,3.01,8,8.655,13.101,7.25,90,116.02,90,738.747,,,monoclinic,C2/m,Crystallography Reports 48 (2003) 919-924,Locality: synthetic
Microcline,(K.94 Na.06) (Al1.01 Si2.99) O8,0,0,0.94,0,0.06,0,0,0,0,1,3,8,8.561,12.972,7.223,90.56,115.93,87.92,720.894,,,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707,"Locality: Adamello Massif, Northern Italy"
Microcline,(K.95 Na.05) Al Si3 O8,0,0,0.95,0,0.05,0,0,0,0,1,3,8,8.5714,12.9646,7.2217,90.6,115.9,87.7,721.3,,,triclinic,C1,The Canadian Mineralogist 25 (1987) 527-537,
Microcline,(K.92 Na.08) (Al.99 Si3.01) O8,0,0,0.92,0,0.08,0,0,0,0,1,3,8,8.567,12.97,7.221,90.43,116,88.48,720.89,,,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707,"Locality: Adamello Massif, Northern Italy"
Orthoclase,K Si3 Al O8,0,0,1,0,0,0,0,0,0,1,3,8,8.6,13.02,7.22,90,116.05,90,726.31,,,monoclinic,C2/m,Mineralogical Magazine 25 (1940) 498-512,
Microcline,(K0.96Na0.04)Al1.00Si3.00O8,0,0,0.96,0,0.04,0,0,0,0,1,3,8,8.578,12.957,7.218,90.72,115.94,87.74,720.851,,,triclinic,,R050054,"Locality: Kenticha, Negele area, Sidamo Province, Ethiopia"
Microcline,(K0.95Na0.05)Σ=1Al1.00Si3.00O8,0,0,0.95,0,0.05,0,0,0,0,1,3,8,8.568,12.9556,7.2176,90.79,115.94,87.63,719.838,,,triclinic,,R050150,"Locality: Crystal Peak area, Park/Teller Counties, Colorado, USA"
Microcline,(K.94 Na.06) (Al.95 Si3.05) O8,0,0,0.94,0,0.06,0,0,0,0,1,3,8,8.574,12.962,7.21,90.35,116.03,88.8,719.85,,,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707,"Locality: Adamello Massif, Northern Italy"
Microcline,K.94 Na.06 (Al.99 Si3.01) O8,0,0,0.94,0,0.06,0,0,0,0,1,3,8,8.56,12.984,7.209,90.28,116.03,89.03,719.851,,,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707,"Locality: Adamello Massif, Northern Italy"
Microcline,(K.986 Na.014) (Al1.03 Si2.97) O8,0,0,0.986,0,0.014,0,0,0,0,1,3,8,8.5733,12.9375,7.2075,90.53,115.972,87.968,718.229,0.0 GPa,,triclinic,C1,European Journal of Mineralogy 9 (1997) 263-275,
Orthoclase,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.554,12.97,7.207,90,116.01,90,718.6,,,monoclinic,C2/m,American Mineralogist 53 (1968) 25-37,"Locality: St. Gotthard, Switzerland, known as Spencer B, variety adularia"
Orthoclase,(K0.90Na0.10)Σ=1Al1.00Si3.00O8,0,0,0.9,0,0.1,0,0,0,0,1,3,8,8.5949,12.983,7.2063,90,116.057,90,722.399,,,monoclinic,,R050367,"Locality: Pazunseik, Mandalay Division, Burma"
Orthoclase,(K0.88Na0.12)AlSi3O8,0,0,0.88,0,0.12,0,0,0,0,1,3,8,8.5832,13.0143,7.2058,90,116.089,90,722.908,,,monoclinic,,R060077,"Locality: pegmatite near Minh Tien, 15 km south of Luc Yen, Vietnam"
Microcline,(Al Si3) (K.89 Na.11) O8,0,0,0.89,0,0.11,0,0,0,0,1,3,8,8.552,12.975,7.205,90.09,115.92,89.51,719.031,,,triclinic,C1,American Mineralogist 69 (1984) 1072-1077,
Orthoclase,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.578,12.978,7.204,90,116.02,90,720.699,,,monoclinic,C2/m,Dissertation Kernforshungszentrum Karlsruhe 1 (1985) 1-97,Locality: Madagascar
Orthoclase,(K.93 Na.07) (Si3 Al) O8,0,0,0.93,0,0.07,0,0,0,0,1,3,8,8.5739,12.9874,7.2018,90,116.042,90,720.521,,,monoclinic,C2/m,European Journal of Mineralogy 25 (2013) 597-614,Locality: Unknown
Orthoclase,(K.92 Na.08) (Si3 Al) O8,0,0,0.92,0,0.08,0,0,0,0,1,3,8,8.5739,12.9874,7.2018,90,116.042,90,720.521,,,monoclinic,C2/m,European Journal of Mineralogy 25 (2013) 597-614,Locality: Unknown
Orthoclase,(K.92 Na.08) (Si3 Al) O8,0,0,0.92,0,0.08,0,0,0,0,1,3,8,8.5752,12.986,7.2013,90,116.023,90,720.619,,293 K,monoclinic,C2/m,European Journal of Mineralogy 25 (2013) 597-614,Locality: Unknown
Orthoclase,(Si2.98 Al1.02) (K.88 Na.12) O8,0,0,0.88,0,0.12,0,0,0,0,1,3,8,8.545,12.967,7.201,90,116,90,717.141,,,monoclinic,C2/m,American Mineralogist 58 (1973) 263-270,"Locality: St. Gotthard, Switzerland"
Orthoclase,(K.92 Na.08) (Si3 Al) O8,0,0,0.92,0,0.08,0,0,0,0,1,3,8,8.575,12.984,7.2008,90,116.028,90,720.41,,293 K,monoclinic,C2/m,European Journal of Mineralogy 25 (2013) 597-614,Locality: Unknown
Orthoclase,(K0.96Na0.04)Al1.00Si3.00O8,0,0,0.96,0,0.04,0,0,0,0,1,3,8,8.585,12.991,7.2006,90,116.035,90,721.576,,,monoclinic,,R050185,"Locality: Silica Bell Property, west of Hope, British Columbia, Canada"
Orthoclase,(K.94 Na.06) (Al1.01 Si2.99) O8,0,0,0.94,0,0.06,0,0,0,0,1,3,8,8.589,13.013,7.197,90,116.02,90,722.866,,,triclinic,C1,Acta Crystallographica B34 (1978) 2699-2707,"Locality: Adamello Massif, Northern Italy"
Sanidine,K (Al Si3) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.544,13.01,7.194,90,115.99,90,718.797,,,monoclinic,C2/m,American Mineralogist 76 (1991) 1620-1627,"Locality: Volkesfeld, Eifel, Germany"
Orthoclase,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.6,13.005,7.193,90,116.03,90,722.883,,296 K,monoclinic,C2/m,"Neues Jahrbuch fur Mineralogie, Abhandlungen 171 (1996) 199-213","Locality: Itrongay, Madagascar"
Orthoclase,K Al Si3 O8,0,0,1,0,0,0,0,0,0,1,3,8,8.58804,13.00492,7.19238,90,116.026,90,721.836,,,monoclinic,C2/m,Physics and Chemistry of Minerals 22 (1995) 399-405,
Orthoclase,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.561,12.996,7.192,90,116.01,90,719.129,,,monoclinic,C2/m,American Mineralogist 53 (1968) 25-37,"Locality: St. Gotthard, Switzerland, known as Spencer C"
Orthoclase,K Al Si3 O8,0,0,1,0,0,0,0,0,0,1,3,8,8.59122,13.00089,7.19192,90,116.009,90,721.938,,,monoclinic,C2/m,Physics and Chemistry of Minerals 22 (1995) 399-405,
Microcline,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.643,12.929,7.19,90.1,116.2,89.6,720.883,,,triclinic,C1,American Mineralogist 64 (1979) 402-408,"Locality: Kongnat syenite, SW Greenland"
Sanidine,K (Al Si3) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.549,13.028,7.188,90,116.02,90,719.428,,,monoclinic,C2/m,Zeitschrift fur Kristallographie 136 (1972) 418-426,"Locality: Volkesfeld, Eifel"
Orthoclase,K Al Si3 O8,0,0,1,0,0,0,0,0,0,1,3,8,8.59046,12.99323,7.18763,90,115.99,90,721.135,,,monoclinic,C2/m,Physics and Chemistry of Minerals 22 (1995) 399-405,
Sanidine,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.606,13.017,7.185,90,115.97,90,723.619,,,monoclinic,C2/m,The Canadian Mineralogist 29 (1991) 543-552,"Locality: Buck Claim Pegmatite, Bernic Lake, Manitoba, Canada"
Sanidine,(K.86 Na.14) (Si3 Al) O8,0,0,0.86,0,0.14,0,0,0,0,1,3,8,8.543,13.021,7.183,90,115.98,90,718.282,,25 C,monoclinic,C2/m,Carnegie Institution of Washington: Yearbook 73 (1974) 539-544,"Locality: Laacher See, Eifel District, Germany"
Sanidine,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.543,13.019,7.183,90,115.99,90,718.11,,,monoclinic,C2/m,Dissertation Kernforshungszentrum Karlsruhe 1 (1985) 1-97,Locality: Madagascar
Sanidine,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.608,13.041,7.18,90,115.98,90,724.556,,,monoclinic,C2/m,The Canadian Mineralogist 29 (1991) 543-552,"Locality: Buck Claim Pegmatite, Bernic Lake, Manitoba, Canada"
Sanidine,(Si3 Al) (K.85 Na.15) O8,0,0,0.85,0,0.15,0,0,0,0,1,3,8,8.539,13.015,7.179,90,115.99,90,717.154,,,monoclinic,C2/m,American Mineralogist 58 (1973) 263-270,"Locality: Laacher See, Eifel District, Germany"
Sanidine,(K.65 Na.35) (Si3 Al) O8,0,0,0.65,0,0.35,0,0,0,0,1,3,8,8.558,12.997,7.179,90,116.07,90,717.266,,,monoclinic,C2/m,American Mineralogist 63 (1978) 1264-1273,
Sanidine,K (Al Si3) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.546,13.037,7.178,90,115.97,90,718.977,,,monoclinic,C2/m,Zeitschrift fur Kristallographie 136 (1972) 418-426,"Locality: Volkesfeld, Eifel"
Sanidine,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.534,13.01,7.176,90,115.99,90,716.159,,296 K,monoclinic,C2/m,"Neues Jahrbuch fur Mineralogie, Abhandlungen 171 (1996) 199-213","Locality: Volkesfeld, Eifel, Germany"
Sanidine,K (Al Si3) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.53573,13.03129,7.17536,90,115.9855,90,717.44,,,monoclinic,C2/m,Journal of Applied Crystallography 33 (2000) 267-278,"Locality: Latera, Viterbo, Italy"
Sanidine,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.611,13.046,7.175,90,116.01,90,724.396,,,monoclinic,C2/m,The Canadian Mineralogist 29 (1991) 543-552,"Locality: Buck Claim Pegmatite, Bernic Lake, Manitoba, Canada"
Sanidine,K (Si3 Al) O8,0,0,1,0,0,0,0,0,0,1,3,8,8.603,13.036,7.174,90,116.03,90,722.944,,,monoclinic,C2/m,The Canadian Mineralogist 29 (1991) 543-552,"Locality: Buck Claim Pegmatite, Bernic Lake, Manitoba, Canada"
Sanidine,(K.65 Na.31 Ca.04) (Al1.04 Si2.96) O8,0,0.04,0.65,0,0.31,0,0,0,0,1.04,2.96,8,8.437,13.003,7.172,90,116.1,90,706.58,,,monoclinic,C2/m,European Journal of Mineralogy 20 (2008) 183-190,"Locality: Stromboli volcano, southern Italy"
Orthoclase,K.58 Na.42 (Si2.99 Al1.01) O8,0,0,0.58,0,0.42,0,0,0,0,1,3,8,8.434,13.015,7.1717,90,116.09,90,707.012,,,triclinic,C1,Zeitschrift fur Kristallographie 145 (1977) 124-145,Locality: Synthetic
Sanidine,(K.41 Na.56 Ca.03) (Al1.002 Si2.998) O8,0,0.03,0.41,0,0.56,0,0,0,0,1.03,2.97,8,8.36,12.997,7.162,90,116.17,90,698.414,,,monoclinic,C2/m,Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 2 (1993) 85-89,Locality: Mongolia
Albite,(Na0.974K0.009)(Al1.031Ca0.007Fe0.001)Si2.976O8,0,0.007,0.009,0,0.974,0,0.001,0,0,1.031,2.976,8,8.1409,12.7883,7.1602,94.251,116.586,87.676,664.76,0.001 GPa,,triclinic,C1,American Mineralogist 90 (2005) 1115-1120,"Locality: Amelia Court House, Virginia, USA"
Albite,(Na.8 K.2) (Si3 Al) O8,0,0,0.2,0,0.8,0,0,0,0,1,3,8,8.144,12.989,7.16,92.1,116.56,90.21,676.846,,,triclinic,C1,American Mineralogist 63 (1978) 1264-1273,
Albite,(Na0.98Ca0.01K0.01)(Al1.01Si2.99)O8,0,0.01,0.01,0,0.98,0,0,0,0,1.01,2.99,8,8.141,12.791,7.16,94.25,116.58,87.71,664.9,,,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Amelia Courthouse, Amerlia County, Virginia, USA. Sample: Amelia Ab"
Albite,Na1.00Al1.00Si3.00O8,0,0,0,0,1,0,0,0,0,1,3,8,8.1409,12.789,7.1598,94.265,116.589,87.679,664.73,,,triclinic,,R050402,"Locality: Urbano mine, Golconda District, Brazil"
Albite,(Na0.99Ca0.01)Al1.00(Si0.99Al0.01)3O8,0,0.01,0,0,0.99,0,0,0,0,1.01,2.99,8,8.135,12.784,7.1594,94.271,116.594,87.717,663.922,,,triclinic,,R040068,"Locality: Harding Pegmatite, Dixon, New Mexico, USA"
Albite,(Na0.99K0.01)Al1.00Si3.00O8,0,0,0.01,0,0.99,0,0,0,0,1,3,8,8.1393,12.7844,7.1592,94.262,116.612,87.647,664.171,,,triclinic,,R040129,"Locality: LaChance Quarry, Brunswick, Cumberland County, Maine, USA"
Albite,Al1.005 Si2.995 Na.986 O8,0,0.001,0.006,0,0.993,0,0,0,0,1.001,2.999,8,8.142,12.785,7.159,94.19,116.61,87.68,664.477,,,triclinic,C1,American Mineralogist 65 (1980) 986-995,
Albite,Na.983Ca.005K.012Al1.005Si2.995O8,0,0.005,0.012,0,0.983,0,0,0,0,1.005,2.995,8,8.141,12.785,7.159,94.26,116.59,87.69,664.456,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #191
Albite,Na.997K.003Al1.000Si3.000O8,0,0,0.003,0,0.997,0,0,0,0,1,3,8,8.141,12.786,7.159,94.25,116.59,87.69,664.516,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #194
Albite,Al.502 Si1.497 Na O4,0,0.001,0.006,0,0.969,0,0,0,0,0.976,3.024,8,8.142,12.785,7.159,94.19,116.61,87.68,664.477,,,triclinic,C1,American Mineralogist 65 (1980) 986-995,
Albite,(Na0.99Ca0.01)Al1.00(Si0.99Al0.01)3O8,0,0.01,0,0,0.99,0,0,0,0,1.01,2.99,8,8.1365,12.788,7.1584,94.228,116.583,87.704,664.257,,,triclinic,,R050253,"Locality: Madawaska/Faraday mine, Bancroft, Ontario, Canada"
Albite,Al Si3 Na O8,0,0,0,0,1,0,0,0,0,1,3,8,8.137,12.785,7.1583,94.26,116.6,87.71,664.008,,,triclinic,C1,American Mineralogist 75 (1990) 135-140,"Locality: Roc Tourne, France"
Albite,Na(AlSi3)O8,0,0,0,0,1,0,0,0,0,1,3,8,8.1366,12.7857,7.1582,94.253,116.605,87.756,663.98,,,triclinic,C1,Physics and Chemistry of Minerals 33 (2006) 256-265,"Locality: Near Therison, Crete, Greece"
Albite,Na.977Ca.017K.006Al1.017Si2.983O8,0,0.017,0.006,0,0.977,0,0,0,0,1.017,2.983,8,8.139,12.785,7.158,94.2,116.61,87.76,664.139,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #163
Albite,(Na.98 Ca.02) (Si2.98 Al1.02) O8,0,0.02,0,0,0.98,0,0,0,0,1.02,2.98,8,8.14588,12.7973,7.15775,94.2451,116.6,87.8,665.342,,,triclinic,C1,Journal of Applied Crystallography 33 (2000) 267-278,"Locality: Baveno, Novara, Italy"
Albite,Na Al Si3 O8,0,0,0,0,1,0,0,0,0,1,3,8,8.1372,12.787,7.1574,94.245,116.605,87.809,664.037,,,triclinic,C1,American Mineralogist 79 (1994) 1042-1052,
Albite,Na.991Ca.007K.002Al1.007Si2.993O8,0,0.007,0.002,0,0.991,0,0,0,0,1.007,2.993,8,8.139,12.782,7.157,94.29,116.6,87.69,663.869,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #167
Albite,Na.875Ca.111K.014Al1.111Si2.889O8,0,0.111,0.014,0,0.875,0,0,0,0,1.111,2.889,8,8.148,12.798,7.156,94.2,116.57,87.85,665.604,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #110
Albite,Na.686 K.334 Ca.008 (Al Si3) O8,0,0.008,0.334,0,0.686,0,0.014,0,0,0.987,2.994,8,8.29,12.966,7.151,91.18,116.31,90.14,688.819,,23 C,triclinic,C1,American Mineralogist 67 (1982) 975-996,"Locality: Grande Calderira, Azores"
Albite,Na.865Ca.130K.005Al1.130Si2.870O8,0,0.13,0.005,0,0.865,0,0,0,0,1.13,2.87,8,8.149,12.804,7.142,94.07,116.52,88.45,665.094,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #278
Albite,(Na.821 Ca.179) (Al1.179 Si2.821) O8,0,0.179,0,0,0.821,0,0,0,0,1.179,2.821,8,8.154,12.823,7.139,94.06,116.5,88.59,666.322,,,triclinic,C1,Zeitschrift fur Kristallographie 133 (1971) 43-65,"Locality: Camedo, Switzerland"
Albite,(Na0.77Ca0.20K0.03)(Al1.20Si2.80)O8,0,0.2,0.03,0,0.77,0,0,0,0,1.2,2.8,8,8.168,12.839,7.138,93.83,116.45,88.91,668.6,,,triclinic,C1,Geochimica et Cosmochimica Acta 49 (1985) 947-966,"Locality: Hawk Mine, Bakersville, Mitchell County, North Carolina, USA. Sample: Hawk b"
Albite,Na.828Ca.165K.007Al1.165Si2.835O8,0,0.165,0.007,0,0.828,0,0,0,0,1.165,2.835,8,8.151,12.814,7.138,94.01,116.5,88.63,665.556,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #84
Albite,Na.822Ca.172K.006Al1.172Si2.828O8,0,0.172,0.006,0,0.822,0,0,0,0,1.172,2.828,8,8.154,12.826,7.137,93.94,116.48,88.74,666.494,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #171
Albite,Na.806Ca.185K.009Al1.185Si2.815O8,0,0.185,0.009,0,0.806,0,0,0,0,1.185,2.815,8,8.158,12.831,7.137,93.94,116.45,88.8,667.247,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #67
Albite,Na.759Ca.202K.039Al1.202Si2.798O8,0,0.202,0.039,0,0.759,0,0,0,0,1.202,2.798,8,8.162,12.827,7.137,93.88,116.46,88.85,667.353,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #162
Albite,(Na0.67K0.18Ca0.15)Σ=1Al1.00(Si2.85Al0.15)Σ=3O8,0,0.15,0.18,0,0.67,0,0,0,0,1.15,2.85,8,8.235,12.9316,7.1343,92.47,116.3,90.25,680.234,,,triclinic,,R060054,"Locality: Mt. Erebus, Antarctica"
Albite,Na.815Ca.176K.009Al1.176Si2.824O8,0,0.176,0.009,0,0.815,0,0,0,0,1.176,2.824,8,8.153,12.824,7.134,93.95,116.46,88.84,666.122,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #2
Albite,Na.773Ca.215K.012Al1.215Si2.785O8,0,0.215,0.012,0,0.773,0,0,0,0,1.215,2.785,8,8.153,12.83,7.134,93.9,116.43,88.94,666.635,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #166
Albite,Na.781Ca.210K.009Al1.210Si2.790O8,0,0.21,0.009,0,0.781,0,0,0,0,1.21,2.79,8,8.161,12.836,7.131,93.89,116.45,89.01,667.2,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #288
Albite,Na.816Ca.179K.005Al1.179Si2.821O8,0,0.179,0.005,0,0.816,0,0,0,0,1.179,2.821,8,8.155,12.834,7.13,93.88,116.45,89.07,666.509,,,triclinic,P1,Schweizerische Mineralogische und Petrographische Mitteilungen 47 (1967) 333-349,Sample #104
Albite,(Na0.75Ca0.25)(Al1.25Si2.75)O8,0,0.25,0,0,0.75,0,0,0,0,1.25,2.75,8,8.1605,12.8391,7.1288,93.833,116.44,89.124,667.2,,,triclinic,C1,Journal of Geophysical Research 121 (2016) 1-13,"Locality: Monson Gneiss, Massachusetts, USA"
